region,timestamp,demand_mw,generation_mw,weather_alert,disturbance_text
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
Texas,2026-03-06 21:00:00+00:00,,,,
